Symbol,Series,Date,PrevClose,OpenPrice,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUNDRAPORT,EQ,27-Nov-2007,440,770,1050,770,959,962.9,984.72,27294366,26877190537.85,-,9859619,36.12
MUNDRAPORT,EQ,28-Nov-2007,962.9,984,990,874,885,893.9,941.38,4581338,4312765301.65,-,1453278,31.72
MUNDRAPORT,EQ,29-Nov-2007,893.9,909,914.75,841,887,884.2,888.09,5124121,4550658462.65,-,1069678,20.88
MUNDRAPORT,EQ,30-Nov-2007,884.2,890,958,890,929,921.55,929.17,4609762,4283256628.3,-,1260913,27.35
MUNDRAPORT,EQ,03-Dec-2007,921.55,939.75,995,922,980,969.3,965.65,2977470,2875199743,-,816123,27.41
MUNDRAPORT,EQ,04-Dec-2007,969.3,985,1056,976,1049,1041.45,1015.39,4849250,4923867360.75,-,1537667,31.71
MUNDRAPORT,EQ,05-Dec-2007,1041.45,1061,1099.5,1050,1084,1082.45,1082.79,2848209,3084009730.15,-,904260,31.75
MUNDRAPORT,EQ,06-Dec-2007,1082.45,1089,1109.7,1051,1090.1,1081.3,1087.03,1749516,1901771140.2,-,825691,47.2
MUNDRAPORT,EQ,07-Dec-2007,1081.3,1100,1134,1078,1100,1102.4,1106.57,2247904,2487465307.1,-,697763,31.04
MUNDRAPORT,EQ,10-Dec-2007,1102.4,1110,1110,1061.1,1073.55,1075.4,1080.38,1012350,1093726793.6,-,417514,41.24
MUNDRAPORT,EQ,11-Dec-2007,1075.4,1081,1089,1041,1046,1047.65,1067.8,810464,865415564.6,-,415191,51.23
MUNDRAPORT,EQ,12-Dec-2007,1047.65,1032,1065,1016,1036.9,1036.8,1043.92,744799,777513691.65,-,363848,48.85
MUNDRAPORT,EQ,13-Dec-2007,1036.8,1040,1150,1030.25,1131.15,1129.95,1109.09,3067687,3402339075.2,-,1040076,33.9
MUNDRAPORT,EQ,14-Dec-2007,1129.95,1139.9,1140,1101.1,1107,1110.5,1119.55,1070737,1198746277.65,-,525239,49.05
MUNDRAPORT,EQ,17-Dec-2007,1110.5,1140,1168,1021.5,1052,1044.25,1102.42,1404955,1548847677.15,-,670298,47.71
MUNDRAPORT,EQ,18-Dec-2007,1044.25,1045,1109.9,1031.55,1085,1074.95,1077.84,1226984,1322495133.1,-,449420,36.63
MUNDRAPORT,EQ,19-Dec-2007,1074.95,1091,1116,1046.3,1078,1066.9,1082.93,845666,915797576.45,-,344171,40.7
MUNDRAPORT,EQ,20-Dec-2007,1066.9,1083.5,1083.5,1051,1067,1060.2,1065.52,623288,664127061.1,-,276356,44.34
MUNDRAPORT,EQ,24-Dec-2007,1060.2,1095,1192,1085.25,1160,1156.8,1160.77,2060892,2392213613.1,-,807879,39.2
MUNDRAPORT,EQ,26-Dec-2007,1156.8,1175,1214,1148,1212,1199.9,1183.3,1467031,1735938565.4,-,469389,32
MUNDRAPORT,EQ,27-Dec-2007,1199.9,1215,1240,1204,1209,1211.65,1222.58,977495,1195064659.45,-,355431,36.36
MUNDRAPORT,EQ,28-Dec-2007,1211.65,1189.4,1274,1175,1270,1249.1,1221.31,1164138,1421772805.4,-,503564,43.26
MUNDRAPORT,EQ,31-Dec-2007,1249.1,1263.35,1295,1261,1268,1268.8,1277.64,737249,941942138.15,-,316377,42.91
